File_handle,Data_id,Source,Type,Link,Description
Whole_anthers,Anthers,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,"Whole anther including pollen, harvested at anthesis from field grown B73."
pre_emergence_cob,Developing Ear,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Harvested 15 days before the ear emerged from field grown B73
twentyfive_DAP_embryo,Embryo 25DAP,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Dissected developing embryos from field grown B73 plants.
twentyfive_DAP_endosperm,Endosperm 25DAP,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Dissected developing endosperm from field grown B73 plants.
Ovule_B73,Ovule2,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,"Mature ovules with stigma and style removed, harvested at anthesis from field grown B73."
B73_pollen,Pollen,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Harvested at anthesis from field grown B73 plants.
post_pollination,Mature Tassel,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Harvested when the tassel emerged from the whorl in field grown B73.
fiveDAP_Seed,Seed 5DAP,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Whole seeds harvested five days after pollination from field grown B73 plants.
DAP_10,Seed 10DAP,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Whole seeds harvested ten days after pollination from field grown B73 plants.
mature_silk,Silk,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Mature silks harvested at the time of emergence from field grown B73 plants
pre_pollination_tassel,Developing Tassel,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Harvested 10 days before the tassel emerged from field grown B73
post_emergence_cob,Ear,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Cob harvested at the time of silk emergence from field grown B73 plants.
twentydays_old_leaves_seedling_field,Seedling leaves field,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Pooled leaves collected from field grown B73 seedlings 20 days after planting
Leaves_20_days_old_seedling_gc,Seedling leaves grow chamber,Davidson 2011,Expression,http://dx.doi.org/10.3835/plantgenome2011.05.0015,Pooled leaves collected from growth chamber grown B73 seedlings 20 days after planting
Bundle_sheath_cells,Bundle Sheath Cells,Li 2010,Expression,http://dx.doi.org/10.1038/ng.703,Microdissected bundle sheath cells harvested from the tip of leaf three from nine day old B73 seedlings grown in growth chambers under 12 hour days
Developing_Leaf,Developing Leaf,Li 2010,Expression,http://dx.doi.org/10.1038/ng.703,Tissue from the base of leaf three - one centimeter above the ligule -- harvested from nine day old B73 seedlings grown in growth chambers under 12 hour days
Mature_leaf,Mature Leaf,Li 2010,Expression,http://dx.doi.org/10.1038/ng.703,Tissue from one centimeter below the tip of leaf three harvested from nine day old B73 seedlings grown in growth chambers under 12 hour days
Mesophyll_cells,Mesophyll Cells,Li 2010,Expression,http://dx.doi.org/10.1038/ng.703,Microdissected mesophyll cells harvested from the tip of leaf three from nine day old B73 seedlings grown in growth chambers under 12 hour days
Pollen1_1,Pollen1,Chettoor 2014,Expression,http://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0414-2,Mechanically extracted from ovules dissected from B73 grown in a greenhouse under 16 hour days.
Shoot_field1_1,Shoot_field1,Chettoor 2014,Expression,http://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0414-2,Ovule minus the embryo sac. These ovules were dissected from 11 AM to noon - lights came on at 6 AM -- from  B73 grown in a greenhouse under 16 hour days.
Shoot_field2_1,Shoot_field2,Chettoor 2014,Expression,http://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0414-2,
Shoot_field3_1,Shoot_field3,Chettoor 2014,Expression,http://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0414-2,Freshly shed pollen collected from field grown B73
